"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6622","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Thu Apr 24 08:36:22 GMT 2025","passed","Thu Apr 24 08:36:28 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","19030","The caption of the Sign In button is misaligned vertically","chromium","Thu Apr 24 08:36:03 GMT 2025","passed","Thu Apr 24 08:36:22 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","50","Создание бронирования","chromium","Thu Apr 24 08:35:27 GMT 2025","passed","Thu Apr 24 08:35:27 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","2537","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Thu Apr 24 08:35:56 GMT 2025","passed","Thu Apr 24 08:35:59 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","75","Удаление бронирования","chromium","Thu Apr 24 08:35:27 GMT 2025","passed","Thu Apr 24 08:35:27 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","27","Получить информацию о бронировании по id","chromium","Thu Apr 24 08:35:27 GMT 2025","passed","Thu Apr 24 08:35:27 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","4003","The Sign In button overlaps the footer","chromium","Thu Apr 24 08:35:59 GMT 2025","passed","Thu Apr 24 08:36:03 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","5518","The manufacturer link opens an error page","chromium","Thu Apr 24 08:35:41 GMT 2025","passed","Thu Apr 24 08:35:46 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3310","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Thu Apr 24 08:37:16 GMT 2025","passed","Thu Apr 24 08:37:20 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","175","Обновление существующего бронирования","chromium","Thu Apr 24 08:35:27 GMT 2025","passed","Thu Apr 24 08:35:27 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","10200","There is too much space before the last letter in ""Return to Store""","chromium","Thu Apr 24 08:35:46 GMT 2025","passed","Thu Apr 24 08:35:56 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4012","The product image fills the box entirely","chromium","Thu Apr 24 08:35:27 GMT 2025","passed","Thu Apr 24 08:35:31 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","87","Получить id всех бронирований","chromium","Thu Apr 24 08:35:27 GMT 2025","passed","Thu Apr 24 08:35:27 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","2398","The page freezes when changing the currency","chromium","Thu Apr 24 08:35:38 GMT 2025","passed","Thu Apr 24 08:35:41 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","27639","When clicking on the update button the product quantity becomes 2 again","chromium","Thu Apr 24 08:36:49 GMT 2025","passed","Thu Apr 24 08:37:16 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","1367","The page freezes when clicking on the numbers of results","chromium","Thu Apr 24 08:35:37 GMT 2025","passed","Thu Apr 24 08:35:38 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","20364","The text under the New User section is in another language","chromium","Thu Apr 24 08:36:28 GMT 2025","passed","Thu Apr 24 08:36:49 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
