"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1588","The page freezes when clicking on the numbers of results","chromium","Thu Apr 24 09:36:33 GMT 2025","passed","Thu Apr 24 09:36:34 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","7141","When clicking on the update button the product quantity becomes 2 again","chromium","Thu Apr 24 09:37:47 GMT 2025","passed","Thu Apr 24 09:37:54 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","19537","The caption of the Sign In button is misaligned vertically","chromium","Thu Apr 24 09:37:03 GMT 2025","passed","Thu Apr 24 09:37:22 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","35","Создание бронирования","chromium","Thu Apr 24 09:36:28 GMT 2025","passed","Thu Apr 24 09:36:28 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","45","Удаление бронирования","chromium","Thu Apr 24 09:36:28 GMT 2025","passed","Thu Apr 24 09:36:28 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","7159","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Thu Apr 24 09:37:22 GMT 2025","passed","Thu Apr 24 09:37:29 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","15","Получить информацию о бронировании по id","chromium","Thu Apr 24 09:36:28 GMT 2025","passed","Thu Apr 24 09:36:28 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","6960","The manufacturer link opens an error page","chromium","Thu Apr 24 09:36:36 GMT 2025","passed","Thu Apr 24 09:36:43 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","12792","There is too much space before the last letter in ""Return to Store""","chromium","Thu Apr 24 09:36:43 GMT 2025","passed","Thu Apr 24 09:36:56 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","98","Обновление существующего бронирования","chromium","Thu Apr 24 09:36:28 GMT 2025","passed","Thu Apr 24 09:36:28 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","2307","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Thu Apr 24 09:36:56 GMT 2025","passed","Thu Apr 24 09:36:59 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3898","The product image fills the box entirely","chromium","Thu Apr 24 09:36:28 GMT 2025","passed","Thu Apr 24 09:36:32 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2374","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Thu Apr 24 09:37:54 GMT 2025","passed","Thu Apr 24 09:37:57 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","66","Получить id всех бронирований","chromium","Thu Apr 24 09:36:28 GMT 2025","passed","Thu Apr 24 09:36:28 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","3978","The Sign In button overlaps the footer","chromium","Thu Apr 24 09:36:59 GMT 2025","passed","Thu Apr 24 09:37:03 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18130","The text under the New User section is in another language","chromium","Thu Apr 24 09:37:29 GMT 2025","passed","Thu Apr 24 09:37:47 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2223","The page freezes when changing the currency","chromium","Thu Apr 24 09:36:34 GMT 2025","passed","Thu Apr 24 09:36:36 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
