"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16029","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 16:24:50 GMT 2025","passed","Tue May 06 16:25:06 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","5225","The Sign In button overlaps the footer","chromium","Tue May 06 16:23:45 GMT 2025","passed","Tue May 06 16:23:51 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","8318","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 16:24:09 GMT 2025","passed","Tue May 06 16:24:18 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","110","Создание бронирования","chromium","Tue May 06 16:23:13 GMT 2025","passed","Tue May 06 16:23:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","193","Удаление бронирования","chromium","Tue May 06 16:23:13 GMT 2025","passed","Tue May 06 16:23:14 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","72","Получить id всех бронирований","chromium","Tue May 06 16:23:13 GMT 2025","passed","Tue May 06 16:23:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","6664","The manufacturer link opens an error page","chromium","Tue May 06 16:23:24 GMT 2025","passed","Tue May 06 16:23:30 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18826","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 16:23:51 GMT 2025","passed","Tue May 06 16:24:09 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","11794","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 16:23:30 GMT 2025","passed","Tue May 06 16:23:42 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","212","Обновление существующего бронирования","chromium","Tue May 06 16:23:13 GMT 2025","passed","Tue May 06 16:23:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2357","The page freezes when clicking on the numbers of results","chromium","Tue May 06 16:23:18 GMT 2025","passed","Tue May 06 16:23:21 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4259","The product image fills the box entirely","chromium","Tue May 06 16:23:14 GMT 2025","passed","Tue May 06 16:23:18 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2750","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 16:25:06 GMT 2025","passed","Tue May 06 16:25:09 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3052","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 16:23:42 GMT 2025","passed","Tue May 06 16:23:45 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18698","The text under the New User section is in another language","chromium","Tue May 06 16:24:18 GMT 2025","passed","Tue May 06 16:24:36 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","129","Получить информацию о бронировании по id","chromium","Tue May 06 16:23:13 GMT 2025","passed","Tue May 06 16:23:13 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","3231","The page freezes when changing the currency","chromium","Tue May 06 16:23:21 GMT 2025","passed","Tue May 06 16:23:24 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
