"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Обновление существующего бронирования","chromium","Tue May 06 17:45:17 GMT 2025","passed","Tue May 06 17:45:17 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","239","Удаление бронирования","chromium","Tue May 06 17:45:17 GMT 2025","passed","Tue May 06 17:45:17 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2600","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 17:45:58 GMT 2025","passed","Tue May 06 17:46:01 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","6528","The Sign In button overlaps the footer","chromium","Tue May 06 17:46:01 GMT 2025","passed","Tue May 06 17:46:07 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","160","Получить информацию о бронировании по id","chromium","Tue May 06 17:45:17 GMT 2025","passed","Tue May 06 17:45:17 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","18939","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 17:45:39 GMT 2025","passed","Tue May 06 17:45:58 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","5708","The page freezes when clicking on the numbers of results","chromium","Tue May 06 17:45:22 GMT 2025","passed","Tue May 06 17:45:28 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","159","Получить id всех бронирований","chromium","Tue May 06 17:45:16 GMT 2025","passed","Tue May 06 17:45:16 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","125","Создание бронирования","chromium","Tue May 06 17:45:16 GMT 2025","passed","Tue May 06 17:45:17 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","8055","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 17:47:10 GMT 2025","passed","Tue May 06 17:47:18 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3722","The page freezes when changing the currency","chromium","Tue May 06 17:45:28 GMT 2025","passed","Tue May 06 17:45:32 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","23569","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 17:46:26 GMT 2025","passed","Tue May 06 17:46:50 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","20309","The text under the New User section is in another language","chromium","Tue May 06 17:46:50 GMT 2025","passed","Tue May 06 17:47:10 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4742","The product image fills the box entirely","chromium","Tue May 06 17:45:17 GMT 2025","passed","Tue May 06 17:45:22 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3724","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 17:47:18 GMT 2025","passed","Tue May 06 17:47:22 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18735","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 17:46:07 GMT 2025","passed","Tue May 06 17:46:26 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","7610","The manufacturer link opens an error page","chromium","Tue May 06 17:45:32 GMT 2025","passed","Tue May 06 17:45:39 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
