"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3103","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 15:51:04 GMT 2025","passed","Tue May 06 15:51:07 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","124","Получить id всех бронирований","chromium","Tue May 06 15:50:33 GMT 2025","passed","Tue May 06 15:50:34 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","18079","The text under the New User section is in another language","chromium","Tue May 06 15:51:40 GMT 2025","passed","Tue May 06 15:51:58 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3042","The page freezes when changing the currency","chromium","Tue May 06 15:50:41 GMT 2025","passed","Tue May 06 15:50:44 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","8122","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 15:51:58 GMT 2025","passed","Tue May 06 15:52:06 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","21303","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 15:51:11 GMT 2025","passed","Tue May 06 15:51:33 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","132","Удаление бронирования","chromium","Tue May 06 15:50:34 GMT 2025","passed","Tue May 06 15:50:34 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2253","The page freezes when clicking on the numbers of results","chromium","Tue May 06 15:50:39 GMT 2025","passed","Tue May 06 15:50:41 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2836","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 15:52:06 GMT 2025","passed","Tue May 06 15:52:09 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","89","Создание бронирования","chromium","Tue May 06 15:50:34 GMT 2025","passed","Tue May 06 15:50:34 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","7269","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 15:51:33 GMT 2025","passed","Tue May 06 15:51:40 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4331","The product image fills the box entirely","chromium","Tue May 06 15:50:34 GMT 2025","passed","Tue May 06 15:50:39 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","88","Получить информацию о бронировании по id","chromium","Tue May 06 15:50:34 GMT 2025","passed","Tue May 06 15:50:34 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","6922","The manufacturer link opens an error page","chromium","Tue May 06 15:50:44 GMT 2025","passed","Tue May 06 15:50:51 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","12522","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 15:50:51 GMT 2025","passed","Tue May 06 15:51:04 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","152","Обновление существующего бронирования","chromium","Tue May 06 15:50:34 GMT 2025","passed","Tue May 06 15:50:34 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","4696","The Sign In button overlaps the footer","chromium","Tue May 06 15:51:07 GMT 2025","passed","Tue May 06 15:51:11 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
