"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Получить id всех бронирований","chromium","Tue May 06 16:18:37 GMT 2025","passed","Tue May 06 16:18:37 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","5578","The manufacturer link opens an error page","chromium","Tue May 06 16:18:49 GMT 2025","passed","Tue May 06 16:18:55 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","68","Создание бронирования","chromium","Tue May 06 16:18:37 GMT 2025","passed","Tue May 06 16:18:37 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","10975","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 16:19:59 GMT 2025","passed","Tue May 06 16:20:10 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","8456","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 16:19:33 GMT 2025","passed","Tue May 06 16:19:42 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18829","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 16:19:14 GMT 2025","passed","Tue May 06 16:19:33 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2756","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 16:20:10 GMT 2025","passed","Tue May 06 16:20:13 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3877","The product image fills the box entirely","chromium","Tue May 06 16:18:37 GMT 2025","passed","Tue May 06 16:18:41 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","56","Получить информацию о бронировании по id","chromium","Tue May 06 16:18:37 GMT 2025","passed","Tue May 06 16:18:37 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2399","The page freezes when changing the currency","chromium","Tue May 06 16:18:47 GMT 2025","passed","Tue May 06 16:18:49 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","96","Обновление существующего бронирования","chromium","Tue May 06 16:18:37 GMT 2025","passed","Tue May 06 16:18:37 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2766","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 16:19:06 GMT 2025","passed","Tue May 06 16:19:09 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","17794","The text under the New User section is in another language","chromium","Tue May 06 16:19:42 GMT 2025","passed","Tue May 06 16:19:59 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","74","Удаление бронирования","chromium","Tue May 06 16:18:37 GMT 2025","passed","Tue May 06 16:18:37 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","11246","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 16:18:55 GMT 2025","passed","Tue May 06 16:19:06 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","1691","The page freezes when clicking on the numbers of results","chromium","Tue May 06 16:18:45 GMT 2025","passed","Tue May 06 16:18:47 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","5349","The Sign In button overlaps the footer","chromium","Tue May 06 16:19:09 GMT 2025","passed","Tue May 06 16:19:14 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
