"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133","Удаление бронирования","chromium","Tue May 06 17:45:09 GMT 2025","passed","Tue May 06 17:45:09 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","89","Создание бронирования","chromium","Tue May 06 17:45:09 GMT 2025","passed","Tue May 06 17:45:09 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2523","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 17:47:07 GMT 2025","passed","Tue May 06 17:47:09 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","9640","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 17:46:57 GMT 2025","passed","Tue May 06 17:47:07 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","1692","The page freezes when clicking on the numbers of results","chromium","Tue May 06 17:45:14 GMT 2025","passed","Tue May 06 17:45:15 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3501","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 17:45:46 GMT 2025","passed","Tue May 06 17:45:50 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4768","The Sign In button overlaps the footer","chromium","Tue May 06 17:45:50 GMT 2025","passed","Tue May 06 17:45:55 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","89","Получить информацию о бронировании по id","chromium","Tue May 06 17:45:09 GMT 2025","passed","Tue May 06 17:45:09 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","30947","The text under the New User section is in another language","chromium","Tue May 06 17:46:26 GMT 2025","passed","Tue May 06 17:46:57 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","153","Обновление существующего бронирования","chromium","Tue May 06 17:45:09 GMT 2025","passed","Tue May 06 17:45:09 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","22966","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 17:45:55 GMT 2025","passed","Tue May 06 17:46:18 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","6090","The page freezes when changing the currency","chromium","Tue May 06 17:45:15 GMT 2025","passed","Tue May 06 17:45:22 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","93","Получить id всех бронирований","chromium","Tue May 06 17:45:08 GMT 2025","passed","Tue May 06 17:45:09 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","4329","The product image fills the box entirely","chromium","Tue May 06 17:45:09 GMT 2025","passed","Tue May 06 17:45:14 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","8707","The manufacturer link opens an error page","chromium","Tue May 06 17:45:22 GMT 2025","passed","Tue May 06 17:45:30 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","8852","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 17:46:18 GMT 2025","passed","Tue May 06 17:46:26 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","15974","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 17:45:30 GMT 2025","passed","Tue May 06 17:45:46 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
