"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8159","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 16:09:40 GMT 2025","passed","Tue May 06 16:09:48 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3739","The product image fills the box entirely","chromium","Tue May 06 16:08:21 GMT 2025","passed","Tue May 06 16:08:25 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","20095","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 16:08:53 GMT 2025","passed","Tue May 06 16:09:13 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18760","The text under the New User section is in another language","chromium","Tue May 06 16:09:21 GMT 2025","passed","Tue May 06 16:09:40 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","67","Обновление существующего бронирования","chromium","Tue May 06 16:08:21 GMT 2025","passed","Tue May 06 16:08:21 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2954","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 16:09:48 GMT 2025","passed","Tue May 06 16:09:51 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","1493","The page freezes when clicking on the numbers of results","chromium","Tue May 06 16:08:25 GMT 2025","passed","Tue May 06 16:08:27 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2533","The page freezes when changing the currency","chromium","Tue May 06 16:08:27 GMT 2025","passed","Tue May 06 16:08:29 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4170","The Sign In button overlaps the footer","chromium","Tue May 06 16:08:49 GMT 2025","passed","Tue May 06 16:08:53 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","35","Получить id всех бронирований","chromium","Tue May 06 16:08:21 GMT 2025","passed","Tue May 06 16:08:21 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","11047","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 16:08:35 GMT 2025","passed","Tue May 06 16:08:46 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","34","Получить информацию о бронировании по id","chromium","Tue May 06 16:08:21 GMT 2025","passed","Tue May 06 16:08:21 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","60","Создание бронирования","chromium","Tue May 06 16:08:21 GMT 2025","passed","Tue May 06 16:08:21 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","5714","The manufacturer link opens an error page","chromium","Tue May 06 16:08:29 GMT 2025","passed","Tue May 06 16:08:35 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2605","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 16:08:46 GMT 2025","passed","Tue May 06 16:08:49 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","45","Удаление бронирования","chromium","Tue May 06 16:08:21 GMT 2025","passed","Tue May 06 16:08:21 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","8275","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 16:09:13 GMT 2025","passed","Tue May 06 16:09:21 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
