"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2311","The page freezes when clicking on the numbers of results","chromium","Thu Apr 24 12:34:22 GMT 2025","passed","Thu Apr 24 12:34:24 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","7906","When clicking on the update button the product quantity becomes 2 again","chromium","Thu Apr 24 12:35:38 GMT 2025","passed","Thu Apr 24 12:35:46 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","87","Создание бронирования","chromium","Thu Apr 24 12:34:16 GMT 2025","passed","Thu Apr 24 12:34:16 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","2799","The page freezes when changing the currency","chromium","Thu Apr 24 12:34:24 GMT 2025","passed","Thu Apr 24 12:34:27 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","169","Получить id всех бронирований","chromium","Thu Apr 24 12:34:16 GMT 2025","passed","Thu Apr 24 12:34:16 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","191","Удаление бронирования","chromium","Thu Apr 24 12:34:17 GMT 2025","passed","Thu Apr 24 12:34:17 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","18849","The text under the New User section is in another language","chromium","Thu Apr 24 12:35:19 GMT 2025","passed","Thu Apr 24 12:35:38 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18743","The caption of the Sign In button is misaligned vertically","chromium","Thu Apr 24 12:34:53 GMT 2025","passed","Thu Apr 24 12:35:11 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2840","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Thu Apr 24 12:35:46 GMT 2025","passed","Thu Apr 24 12:35:49 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3044","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Thu Apr 24 12:34:45 GMT 2025","passed","Thu Apr 24 12:34:48 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","11182","There is too much space before the last letter in ""Return to Store""","chromium","Thu Apr 24 12:34:33 GMT 2025","passed","Thu Apr 24 12:34:45 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","68","Получить информацию о бронировании по id","chromium","Thu Apr 24 12:34:16 GMT 2025","passed","Thu Apr 24 12:34:16 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","401","Обновление существующего бронирования","chromium","Thu Apr 24 12:34:16 GMT 2025","passed","Thu Apr 24 12:34:17 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","4579","The product image fills the box entirely","chromium","Thu Apr 24 12:34:17 GMT 2025","passed","Thu Apr 24 12:34:22 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","6447","The manufacturer link opens an error page","chromium","Thu Apr 24 12:34:27 GMT 2025","passed","Thu Apr 24 12:34:33 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4810","The Sign In button overlaps the footer","chromium","Thu Apr 24 12:34:48 GMT 2025","passed","Thu Apr 24 12:34:53 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","7889","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Thu Apr 24 12:35:11 GMT 2025","passed","Thu Apr 24 12:35:19 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
