"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","162","Обновление существующего бронирования","chromium","Thu Apr 24 11:07:30 GMT 2025","passed","Thu Apr 24 11:07:30 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","6959","When clicking on the update button the product quantity becomes 2 again","chromium","Thu Apr 24 11:08:41 GMT 2025","passed","Thu Apr 24 11:08:48 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3408","The product image fills the box entirely","chromium","Thu Apr 24 11:07:30 GMT 2025","passed","Thu Apr 24 11:07:34 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","9472","There is too much space before the last letter in ""Return to Store""","chromium","Thu Apr 24 11:07:43 GMT 2025","passed","Thu Apr 24 11:07:53 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","102","Получить id всех бронирований","chromium","Thu Apr 24 11:07:30 GMT 2025","passed","Thu Apr 24 11:07:30 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","2444","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Thu Apr 24 11:07:53 GMT 2025","passed","Thu Apr 24 11:07:55 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4030","The Sign In button overlaps the footer","chromium","Thu Apr 24 11:07:55 GMT 2025","passed","Thu Apr 24 11:07:59 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","80","Удаление бронирования","chromium","Thu Apr 24 11:07:30 GMT 2025","passed","Thu Apr 24 11:07:30 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","2106","The page freezes when changing the currency","chromium","Thu Apr 24 11:07:36 GMT 2025","passed","Thu Apr 24 11:07:38 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","6747","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Thu Apr 24 11:08:17 GMT 2025","passed","Thu Apr 24 11:08:23 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","17431","The text under the New User section is in another language","chromium","Thu Apr 24 11:08:23 GMT 2025","passed","Thu Apr 24 11:08:41 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","1476","The page freezes when clicking on the numbers of results","chromium","Thu Apr 24 11:07:34 GMT 2025","passed","Thu Apr 24 11:07:36 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2138","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Thu Apr 24 11:08:48 GMT 2025","passed","Thu Apr 24 11:08:50 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","51","Создание бронирования","chromium","Thu Apr 24 11:07:30 GMT 2025","passed","Thu Apr 24 11:07:30 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","27","Получить информацию о бронировании по id","chromium","Thu Apr 24 11:07:30 GMT 2025","passed","Thu Apr 24 11:07:30 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","17409","The caption of the Sign In button is misaligned vertically","chromium","Thu Apr 24 11:07:59 GMT 2025","passed","Thu Apr 24 11:08:17 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","5421","The manufacturer link opens an error page","chromium","Thu Apr 24 11:07:38 GMT 2025","passed","Thu Apr 24 11:07:43 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
