"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Получить информацию о бронировании по id","chromium","Tue May 06 16:36:53 GMT 2025","passed","Tue May 06 16:36:53 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","60","Создание бронирования","chromium","Tue May 06 16:36:53 GMT 2025","passed","Tue May 06 16:36:53 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","11850","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 16:37:12 GMT 2025","passed","Tue May 06 16:37:24 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4979","The Sign In button overlaps the footer","chromium","Tue May 06 16:37:27 GMT 2025","passed","Tue May 06 16:37:32 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","19261","The text under the New User section is in another language","chromium","Tue May 06 16:38:02 GMT 2025","passed","Tue May 06 16:38:21 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","8191","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 16:38:21 GMT 2025","passed","Tue May 06 16:38:29 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","19885","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 16:37:32 GMT 2025","passed","Tue May 06 16:37:52 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3612","The page freezes when changing the currency","chromium","Tue May 06 16:37:01 GMT 2025","passed","Tue May 06 16:37:05 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","44","Удаление бронирования","chromium","Tue May 06 16:36:53 GMT 2025","passed","Tue May 06 16:36:53 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","3477","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 16:37:24 GMT 2025","passed","Tue May 06 16:37:27 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3059","The page freezes when clicking on the numbers of results","chromium","Tue May 06 16:36:58 GMT 2025","passed","Tue May 06 16:37:01 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","65","Обновление существующего бронирования","chromium","Tue May 06 16:36:53 GMT 2025","passed","Tue May 06 16:36:53 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","3819","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 16:38:29 GMT 2025","passed","Tue May 06 16:38:33 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","6943","The manufacturer link opens an error page","chromium","Tue May 06 16:37:05 GMT 2025","passed","Tue May 06 16:37:12 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","30","Получить id всех бронирований","chromium","Tue May 06 16:36:53 GMT 2025","passed","Tue May 06 16:36:53 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","9558","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 16:37:52 GMT 2025","passed","Tue May 06 16:38:01 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","4418","The product image fills the box entirely","chromium","Tue May 06 16:36:53 GMT 2025","passed","Tue May 06 16:36:58 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
