"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9546","The manufacturer link opens an error page","chromium","Tue May 06 17:24:46 GMT 2025","passed","Tue May 06 17:24:55 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","161","Получить информацию о бронировании по id","chromium","Tue May 06 17:24:33 GMT 2025","passed","Tue May 06 17:24:33 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","5621","The page freezes when changing the currency","chromium","Tue May 06 17:24:40 GMT 2025","passed","Tue May 06 17:24:46 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","126","Создание бронирования","chromium","Tue May 06 17:24:33 GMT 2025","passed","Tue May 06 17:24:33 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","4690","The Sign In button overlaps the footer","chromium","Tue May 06 17:25:09 GMT 2025","passed","Tue May 06 17:25:13 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","243","Удаление бронирования","chromium","Tue May 06 17:24:33 GMT 2025","passed","Tue May 06 17:24:34 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","10658","When clicking on the update button the product quantity becomes 2 again","chromium","Tue May 06 17:26:01 GMT 2025","passed","Tue May 06 17:26:11 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2315","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Tue May 06 17:25:06 GMT 2025","passed","Tue May 06 17:25:09 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2342","The page freezes when clicking on the numbers of results","chromium","Tue May 06 17:24:38 GMT 2025","passed","Tue May 06 17:24:40 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3744","The product image fills the box entirely","chromium","Tue May 06 17:24:34 GMT 2025","passed","Tue May 06 17:24:37 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","158","Получить id всех бронирований","chromium","Tue May 06 17:24:32 GMT 2025","passed","Tue May 06 17:24:33 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","11173","There is too much space before the last letter in ""Return to Store""","chromium","Tue May 06 17:24:55 GMT 2025","passed","Tue May 06 17:25:06 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","21389","The caption of the Sign In button is misaligned vertically","chromium","Tue May 06 17:25:13 GMT 2025","passed","Tue May 06 17:25:35 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","268","Обновление существующего бронирования","chromium","Tue May 06 17:24:33 GMT 2025","passed","Tue May 06 17:24:33 GMT 2025","Booking API Tests","api_tests/booking_service.test.js","",""
"","2310","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Tue May 06 17:26:11 GMT 2025","passed","Tue May 06 17:26:14 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","7360","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Tue May 06 17:25:35 GMT 2025","passed","Tue May 06 17:25:42 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18457","The text under the New User section is in another language","chromium","Tue May 06 17:25:42 GMT 2025","passed","Tue May 06 17:26:01 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
