"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6487","The product image fills the box entirely","chromium","Thu Apr 24 06:47:08 GMT 2025","failed","Thu Apr 24 06:47:15 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2464","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Thu Apr 24 06:47:38 GMT 2025","passed","Thu Apr 24 06:47:41 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","12907","There is too much space before the last letter in ""Return to Store""","chromium","Thu Apr 24 06:47:26 GMT 2025","passed","Thu Apr 24 06:47:38 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","5793","The manufacturer link opens an error page","chromium","Thu Apr 24 06:47:20 GMT 2025","passed","Thu Apr 24 06:47:26 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","14","Получить информацию о бронировании по id","chromium","Thu Apr 24 06:46:49 GMT 2025","passed","Thu Apr 24 06:46:49 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","7462","When clicking on the update button the product quantity becomes 2 again","chromium","Thu Apr 24 06:48:29 GMT 2025","passed","Thu Apr 24 06:48:37 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","60","Обновление существующего бронирования","chromium","Thu Apr 24 06:46:49 GMT 2025","passed","Thu Apr 24 06:46:49 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","30","Удаление бронирования","chromium","Thu Apr 24 06:46:49 GMT 2025","passed","Thu Apr 24 06:46:49 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","18030","The text under the New User section is in another language","chromium","Thu Apr 24 06:48:11 GMT 2025","passed","Thu Apr 24 06:48:29 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3082","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Thu Apr 24 06:48:37 GMT 2025","passed","Thu Apr 24 06:48:40 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","18116","The caption of the Sign In button is misaligned vertically","chromium","Thu Apr 24 06:47:46 GMT 2025","passed","Thu Apr 24 06:48:04 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","51","Получить id всех бронирований","chromium","Thu Apr 24 06:46:49 GMT 2025","passed","Thu Apr 24 06:46:49 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","1599","The page freezes when clicking on the numbers of results","chromium","Thu Apr 24 06:47:16 GMT 2025","passed","Thu Apr 24 06:47:17 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","7110","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Thu Apr 24 06:48:04 GMT 2025","passed","Thu Apr 24 06:48:11 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2369","The page freezes when changing the currency","chromium","Thu Apr 24 06:47:17 GMT 2025","passed","Thu Apr 24 06:47:20 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","32","Создание бронирования","chromium","Thu Apr 24 06:46:49 GMT 2025","passed","Thu Apr 24 06:46:49 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","4963","The Sign In button overlaps the footer","chromium","Thu Apr 24 06:47:41 GMT 2025","passed","Thu Apr 24 06:47:46 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
