"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9729","When clicking on the update button the product quantity becomes 2 again","chromium","Thu Apr 24 09:00:26 GMT 2025","passed","Thu Apr 24 09:00:36 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2056","The page becomes unresponsive when clicking on ""Post Comment""","chromium","Thu Apr 24 08:59:30 GMT 2025","passed","Thu Apr 24 08:59:32 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","9930","The page becomes unresponsive when clicking on ""Retrieve Password"" and no email is sent","chromium","Thu Apr 24 08:59:54 GMT 2025","passed","Thu Apr 24 09:00:04 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2149","The page becomes unresponsive when increasing the quantity with the pink or green colors chosen","chromium","Thu Apr 24 09:00:36 GMT 2025","passed","Thu Apr 24 09:00:38 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","3901","The product image fills the box entirely","chromium","Thu Apr 24 08:59:02 GMT 2025","passed","Thu Apr 24 08:59:06 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","82","Удаление бронирования","chromium","Thu Apr 24 08:59:02 GMT 2025","passed","Thu Apr 24 08:59:02 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","11995","There is too much space before the last letter in ""Return to Store""","chromium","Thu Apr 24 08:59:18 GMT 2025","passed","Thu Apr 24 08:59:30 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","5414","The manufacturer link opens an error page","chromium","Thu Apr 24 08:59:13 GMT 2025","passed","Thu Apr 24 08:59:18 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","1979","The page freezes when clicking on the numbers of results","chromium","Thu Apr 24 08:59:08 GMT 2025","passed","Thu Apr 24 08:59:10 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","26","Получить информацию о бронировании по id","chromium","Thu Apr 24 08:59:02 GMT 2025","passed","Thu Apr 24 08:59:02 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","3917","The Sign In button overlaps the footer","chromium","Thu Apr 24 08:59:32 GMT 2025","passed","Thu Apr 24 08:59:36 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","2913","The page freezes when changing the currency","chromium","Thu Apr 24 08:59:10 GMT 2025","passed","Thu Apr 24 08:59:13 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","43","Создание бронирования","chromium","Thu Apr 24 08:59:02 GMT 2025","passed","Thu Apr 24 08:59:02 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","21915","The text under the New User section is in another language","chromium","Thu Apr 24 09:00:04 GMT 2025","passed","Thu Apr 24 09:00:26 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","97","Получить id всех бронирований","chromium","Thu Apr 24 08:59:01 GMT 2025","passed","Thu Apr 24 08:59:02 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
"","17622","The caption of the Sign In button is misaligned vertically","chromium","Thu Apr 24 08:59:36 GMT 2025","passed","Thu Apr 24 08:59:54 GMT 2025","Academy bugs Test","ui_tests/academybugs.test.js","",""
"","172","Обновление существующего бронирования","chromium","Thu Apr 24 08:59:02 GMT 2025","passed","Thu Apr 24 08:59:02 GMT 2025","Booking Service Api tests","api_tests/booking_service.test.js","",""
